id_institution_subnet,model,test_SMAPE,test_R2,test_RMSE,normal_SMAPE,normal_R2
29,SN-24,35.05576481557586,-0.2361218827991196,435989875.7683145,32.32498471403466,-0.19275766204007327
29,SN-168,39.207609459959286,-0.14230484800897902,419118438.25744927,34.15809840517397,-0.09535400019073248
29,MA-24,28.328657736984265,0.3040825554379517,327133197.5866236,26.6500680305888,0.3209740441779477
29,MA-168,30.4070951134422,0.2509379588946692,339394384.214797,27.98538796039591,0.2908487973549502
30,Mean,43.09915434549739,-0.17572259106356758,529269.0965739053,44.70547174104475,-0.21164804056105102
30,SN-24,31.790785662980824,-0.7103326242374461,638358.1319470785,31.611378048690998,-0.7692534660012631
30,SN-168,40.435305446498305,-0.6084659619040951,619056.1503058182,38.04683060960119,-0.6211772311682513
30,MA-24,25.91415769183897,0.09847534300836591,463460.69641268335,26.149619472726382,0.06782876671041205
30,MA-168,32.1863095250661,-0.010386818245283536,490645.63673827844,31.31704156741049,-0.03116993847142946
31,Mean,81.85109279924446,-2.1160503047855466,1843.025213145464,79.97333612707162,-2.228928946102451
31,SN-24,56.06750777199457,-0.6437358771842241,1338.5822556210096,55.348823369684695,-0.6543785232391504
31,SN-168,60.57411428220878,-0.8536378905123292,1421.4824286311966,59.43250848883028,-0.9017824980177034
31,MA-24,42.49419154044585,0.07188992575636988,1005.8397389430489,42.147094072908594,0.05357930206452888
31,MA-168,45.23243941121051,-0.014846609856681736,1051.7905126489186,44.031091488281945,-0.005208365133959614
32,Mean,84.70821179098513,-0.05200236234597777,846366956.461301,78.46640034159564,-0.07080900208693941
32,SN-24,67.04739610374138,0.1413749582607453,764631379.9190874,60.96215609661756,0.11284638438228312
32,SN-168,77.75017770443573,-0.23950447988724433,918701429.8661886,67.74983716252314,-0.1749355288189942
32,MA-24,72.6311142089094,0.2484248080093131,715379614.2631814,68.77277353945077,0.21627447986538595
32,MA-168,76.43652387775902,0.14387715219442276,763516427.618349,69.74863600968364,0.16960808113221648
33,Mean,136.56567430938017,-0.1791445729888308,11501154647.884577,135.88210074124646,-0.19237093254067883
33,SN-24,129.86653895723884,-0.6430682679064297,13576434198.925282,128.90819592678181,-0.6560559754126514
33,SN-168,133.10058592663609,-0.769391889165173,14088667866.419165,131.4449184217844,-0.776637752710019
33,MA-24,125.37104118927185,0.03595805510129457,10399342456.0404,124.36324607531763,0.030476705376970448
33,MA-168,135.05799800858765,-0.09256593558847936,11070869788.65249,133.30155068488122,-0.10158641137596036
34,Mean,142.87541973356736,-3.2946973402711874,92016.19818658353,144.14395661677497,-3.459637608388028
34,SN-24,42.477099750438136,0.009242739645253684,44195.86474414712,41.070002758760346,0.0276882307372468
34,SN-168,54.36223995941456,-0.636690023690293,56804.301207628785,54.266678660236266,-0.6273632712791533
34,MA-24,32.42590477632534,0.4306301825473625,33503.88926960113,31.741458607163086,0.420369857267635
34,MA-168,49.50867363251325,-0.1519206552592265,47655.08921124652,49.41936427270257,-0.1835896308154885
35,Mean,56.78785465151378,-0.027945146073803384,275999.1442555757,48.80625014672763,-0.013041678134945833
35,SN-24,53.27197127871409,-0.5963139606161703,343939.3936973429,51.32189896422962,-0.590124171589026
35,SN-168,60.71831825311628,-0.8162152038934516,366865.1166965691,54.14859250304789,-0.7985903350116637
35,MA-24,40.45434005363504,0.08478928869417945,260425.38363756778,39.04102326510117,0.07127120514008034
