id_institution,model,test_RMSE,test_SMAPE,test_R2,test_n_obs,normal_RMSE,normal_SMAPE,normal_R2,outage_RMSE,outage_SMAPE,outage_R2,outage_n_obs
21,MA-168,2795650993.73928,81.16446616510851,-0.019671386440538674,4029,2994317391.663309,81.01566972055014,-0.022171057001235228,414632881.49562997,82.1532425386254,-0.008644925354891253,527
22,Mean,3026566648.7972984,59.993884655844454,-0.003867039302474229,4030,3065455621.623342,57.94147342352345,-0.016805085828704547,2754771433.625815,73.606657639913,-0.22475503253674023,528
22,SN-24,3181812933.421577,48.75441650229421,-0.10949409839414814,4030,3210614671.313071,47.91030669440917,-0.11538298504945943,2983754339.963665,54.35303875080445,-0.43682613344052834,528
22,SN-168,3137048973.080724,48.269682270227264,-0.07849542720552116,4030,3061841260.048645,45.62864101819801,-0.01440874734018771,3596277517.22972,65.78658845319406,-1.0872981441107563,528
22,MA-24,2827215264.3371434,52.39758967874515,0.12402146417630822,4030,2887999005.4950924,52.208119723409666,0.09751140572045447,2385171209.361699,53.6542635112923,0.08184245371956511,528
22,MA-168,3084167861.9777994,58.11179528080396,-0.0424415794029247,4030,3164876219.600155,57.79278572002775,-0.08382983431693702,2483334704.957461,60.22765036004313,0.004712369037585429,528
23,Mean,7309048923.241041,59.31223733182942,-0.003058664384847587,4030,7544476437.580062,59.3051060622072,-0.012634273142678287,5498049890.945662,59.35953601784646,-0.2629550748976923,528
23,SN-24,4950694718.757499,36.53795320204245,0.5398103049560087,4030,5014826628.726768,36.037580379444854,0.552589413743953,4502271261.919067,39.85671385495301,0.15309662246670352,528
23,SN-168,5205820987.419383,37.66485763812715,0.4911578770496666,4030,4936006821.642117,35.730800439818346,0.5665431090086004,6726812832.796659,50.49263852539497,-0.8905546566998028,528
23,MA-24,6074942133.156771,49.52307176502032,0.30707076176678727,4030,6299344897.190562,49.373345822934176,0.2940317274230685,4299700567.009914,50.51614041878104,0.2275916254104492,528
23,MA-168,6743660183.173999,53.316736049023085,0.14612174941354483,4030,6999801928.678359,53.11202575504505,0.12830227736439825,4704090367.873467,54.67449258218805,0.07546818268187472,528
24,Mean,398794585.1562341,56.82883524967372,-0.0018243728519067304,4030,411896244.308641,52.91289459985046,-0.00021211282322264324,297640579.65028083,82.80160827179702,-0.481434116960171,528
24,SN-24,511056779.85887766,65.19640013579951,-0.645248092292579,4030,522589900.30400604,62.86248581359061,-0.6100466883334155,426744605.2213671,80.67626368954095,-2.0453284375791125,528
24,SN-168,526926933.05043787,66.53144772108315,-0.7490164027151889,4030,524474421.83159256,62.84992201506332,-0.621679666422249,542913047.9590466,90.94944586972225,-3.928997721185011,528
24,MA-24,392858320.1488109,52.311132401741375,0.02777899883650603,4030,410731776.7801518,50.40525896654029,0.00543527127885024,243052299.23989207,64.95198234506378,0.0121351644314599,528
24,MA-168,405979992.2611773,53.87256116627541,-0.0382509794401118,4030,424206813.11338794,51.6978650023083,-0.06089334304593863,253885469.98497477,68.29639822349665,-0.07788828569367401,528
25,Mean,385132454.31640875,62.96346799183169,-0.1420289670255117,4030,397181875.1035803,62.33420647914767,-0.16157368873356326,292925700.71163505,67.13709264603526,-0.035375646517378456,528
25,SN-24,428108579.758941,62.31420444099408,-0.41112260354227215,4030,441634604.1761278,60.778238832658616,-0.4361311845711897,324422908.58105606,72.50161269931004,-0.27000671663586373,528
25,SN-168,451020316.4155499,65.90450157025177,-0.5662067661268424,4030,457416560.328284,63.848062271257355,-0.5406063729345234,406054415.42396665,79.54399101168815,-0.9895344577515848,528
