id_institution,test_SMAPE,test_R2,test_R2_clip,test_RMSE,test_R2_norm,test_Harmonic,test_RMSE_mm,test_R2_mm,test_Harmonic_mm,testall_RMSE_mm,testall_R2_mm,testall_Harmonic_mm,paper_RMSE,paper_R2,paper_Harmonic,test_n_obs,paper_n_pts,outage_SMAPE,outage_R2,outage_RMSE,outage_Harmonic,outage_RMSE_mm,outage_Harmonic_mm
29,51.600907939255215,0.23347752571229052,0.23347752571229052,0.6257166367890361,0.3801794589184885,0.6227546335330545,0.1891098352397552,0.23347752571229075,0.303373875861932,0.17760654910451218,0.24169540859288308,0.28780480500809186,0.13948223137840093,0.28780792517172604,0.23327729636346328,3478,4008,63.97091622034728,-0.031551789592843216,0.7572185000952344,0.7562219487101941,0.06129182348816125,0.11570857797003925
30,46.774546629732754,0.04998674327444119,0.04998674327444119,0.08169402717262061,0.04221618495038759,0.1505471571089651,0.06510993240894546,0.04998674327444108,0.12186757153235997,0.07245580800072657,0.0526797990445983,0.1346155430071256,0.06442436399658243,0.07093577176040533,0.12049332520585741,3478,4008,62.52614189153684,-0.014922187945421772,0.12216393968144922,0.2156854301724091,0.10911644674168465,0.19704785841053973
31,43.987579618669606,0.40273061730704174,0.40273061730704174,2.2284685796979598,0.6311187686501977,0.6329838439218322,0.03432837681562124,0.40273061730704174,0.06492514617363472,0.03404378738515004,0.3929822801150099,0.06447176116620262,0.034062000243920615,0.39176016808006786,0.06451130688331522,3474,4008,44.446517473112436,0.2555716636221881,0.6724969804955915,0.6123321330012808,0.032108483227834606,0.061561703577817026
32,27.987367982010564,0.3743310086171826,0.3743310086171826,0.5872536418863079,0.4426452677970054,0.5719136845721519,0.0812194975294181,0.3743310086171826,0.1437752117821215,0.08076607104440023,0.3759269679064411,0.14302250434904434,0.07936767365546471,0.3777533360353936,0.14077896505440998,3480,4008,36.72926346308591,0.23613097709403963,0.7786206048173421,0.716626070722661,0.07771142474521404,0.14107112458335375
33,33.24194042310206,0.3512888192512411,0.3512888192512411,0.49161987684224084,0.5175552717479595,0.4869890901404831,0.08764778985142532,0.351288819251241,0.1544303892928577,0.08573095934760928,0.3780197308838833,0.1506913074768093,0.08265774320300408,0.3935659954492936,0.14548560879192965,3480,4008,49.23559482290773,0.43385252083224934,0.7352084332082596,0.6337210754423539,0.07182889381076371,0.12748355232190223
34,41.38047870384733,0.6675833651142778,0.6675833651142778,0.31715131321361567,0.7555448628783619,0.27609820974691635,0.06630279166293224,0.6675833651142777,0.11055468793633792,0.06408269433708534,0.6747632919484522,0.10706912844000462,0.06401986124661094,0.6747632919484523,0.10698141310399248,3480,4008,50.536105474916994,0.7278799037446024,0.3644676288479546,0.2523884186079575,0.046890631803898596,0.07999657765479003
35,68.92784458472241,0.332135988028865,0.332135988028865,0.35038188558755823,0.612307139834015,0.3680943052321995,0.0767479394428775,0.3321359880288648,0.13767489670156616,0.0753531183965846,0.3348946289307514,0.13536954329078021,0.07139350148541732,0.35695224498422085,0.12851842033239694,3480,4008,74.4208006946021,0.3585185019113035,0.3859748732922494,0.3831193312523769,0.06542022874306135,0.11873182578712824
36,43.83479269059924,0.36818888733465516,0.36818888733465516,0.4690591729363363,0.5340863988546085,0.4674810956451323,0.0793849817979581,0.36818888733465505,0.1410477759064074,0.0791181183865665,0.36896552573224173,0.14060713361479893,0.07372611888716211,0.40301017657514016,0.1312440630068448,3480,4008,55.99864712706757,0.2897883112951205,0.645291768665233,0.5269421999042369,0.07733621348023348,0.1394837891674748
37,29.350913189118472,0.03324594578176554,0.03324594578176554,1.045091966687382,0.05101236219314875,0.9947239363186048,0.0021614584430507343,0.03324594578176532,0.004313273315449569,0.0022026787722952165,0.09924429072997454,0.004394611105245783,0.002201478489161122,0.09924429072997443,0.0043922222334108795,3480,4008,41.69260677932228,0.10318242514840037,1.5846131287244047,1.0916596789606297,0.002457120294299762,0.0049008132339252546
38,74.89102656609973,0.44837424312837637,0.44837424312837637,0.6294463600799093,0.7521448707962085,0.3556622456707385,0.07556033089581352,0.4483742431283765,0.13291437910634565,0.07091076530736376,0.45864854438771707,0.12539609567960044,0.06299029014307393,0.5147509571533556,0.11150596522826384,3476,4008,101.21505499979173,0.6763806416514058,0.9339546551171245,0.4895780312427194,0.02334328796752296,0.04354555139583235
